,bigrams,counts
560,"('sure', 'get')",3
561,"('taste', 'like')",3
562,"('the', 'store')",3
563,"('thought', 'sandwich')",3
564,"('quite', 'good')",3
565,"('would', 'use')",3
566,"('make', 'better')",3
567,"('chocolate', 'chip')",3
568,"('chip', 'cookies')",3
569,"('time', 'went')",3
570,"('want', 'get')",3
571,"('seemed', 'like')",3
572,"('go', 'different')",3
573,"('restaurant', 'open')",3
574,"('wish', 'could')",3
575,"('could', 'give')",3
576,"('five', 'stars')",3
577,"('subs', 'since')",3
578,"('since', 'moved')",3
579,"('multiple', 'times')",3
580,"('waste', 'time')",3
581,"('service', '-')",3
582,"('go', 'sandwich')",3
583,"('guy', 'making')",3
584,"('first', 'visit')",3
585,"('see', 'one')",3
586,"('one', 'would')",3
587,"('super', 'fast')",3
588,"('fast', 'always')",3
589,"('sub', 'place')",3
590,"('subway', 'jimmy')",3
591,"('takes', 'forever')",3
592,"('fast', 'freaky')",3
593,"('many', 'sub')",3
594,"('wanted', 'make')",3
595,"('ask', 'extra')",3
596,"('employees', 'location')",3
597,"('go', 'another')",3
598,"('clean', 'food')",3
599,"('service', 'quick')",3
600,"('buffalo', 'chicken')",3
601,"('review', 'subway')",3
602,"('fast', 'sandwich')",3
603,"('friendly', 'place')",3
604,"('place', 'really')",3
605,"('the', 'sandwich')",3
606,"('really', 'fast')",3
607,"('2', 'sandwiches')",3
608,"('late', 'night')",3
609,"('fairly', 'healthy')",3
610,"('place', 'grab')",3
611,"('3', 'stars')",3
612,"('ahead', 'us')",3
613,"('good', 'sub')",3
614,"('one', 'go')",3
615,"('back', 'subway')",3
616,"('subway', 'know')",3
617,"('come', 'get')",3
618,"('food', 'quality')",3
619,"('would', 'take')",3
620,"('two', 'sandwiches')",3
621,"('sandwiches', 'said')",3
622,"('nice', 'staff')",3
623,"('location', 'service')",3
624,"('one', 'subway')",3
625,"('good', 'place')",3
626,"('sandwiches', 'chips')",3
627,"(""they've"", 'got')",3
628,"('staff', 'food')",3
629,"('definitely', 'go')",3
630,"('apple', 'slices')",3
631,"('glad', 'see')",3
632,"(""i'd"", 'rather')",3
633,"('good', 'quick')",3
634,"('always', 'taste')",3
635,"('taste', 'fresh')",3
636,"('like', 'really')",3
637,"('turkey', 'sub')",3
638,"('would', 'definitely')",3
639,"('easy', 'mayo')",3
640,"('person', 'making')",3
641,"('time', 'visit')",3
642,"('italian', 'bmt')",3
643,"('subs', 'across')",3
644,"('things', 'like')",3
645,"('really', 'like')",3
646,"('would', 'wait')",3
647,"('i', 'would')",3
648,"('really', 'love')",3
649,"('subway', 'think')",3
650,"('better', 'worse')",3
651,"('subway', 'restaurants')",3
652,"('subways', 'area')",3
653,"('accept', 'coupon')",3
654,"('subway', 'subway')",3
655,"('think', 'subway')",3
656,"('bread', 'ingredients')",3
657,"('veggie', 'delight')",3
658,"('wine', 'vinegar')",3
659,"('almost', 'every')",3
660,"('""fast', 'food""')",3
661,"('ordered', 'online')",3
662,"('would', 'go')",3
663,"('subway', 'went')",3
664,"('went', 'order')",3
665,"('asked', 'could')",3
666,"('50', 'cents')",3
667,"('got', 'good')",3
668,"('around', 'corner')",3
669,"('sandwich', 'best')",3
670,"('way', 'asked')",3
671,"('lunch', 'dinner')",3
672,"('try', 'another')",3
673,"('we', 'love')",3
674,"('quite', 'often')",3
675,"('go', 'way')",3
676,"('subway', 'clean')",3
677,"('would', 'find')",3
678,"('find', 'subway')",3
679,"('always', 'quick')",3
680,"('sub', 'sandwich')",3
681,"('subway', 'like')",3
682,"('water', 'cup')",3
683,"('two', 'different')",3
684,"('location', 'based')",3
685,"('location', 'new')",3
686,"('walk', 'door')",3
687,"(""i've"", 'waited')",3
688,"('took', 'almost')",3
689,"('(~500', 'calories)')",3
690,"('get', 'one')",3
691,"('store', 'get')",3
692,"('italian', 'sandwich')",3
