,bigrams,counts
670,"(""it's"", 'always')",10
671,"('people', 'working')",10
672,"('sandwich', 'at')",10
673,"('not', 'very')",10
674,"('quick', 'and')",10
675,"('to', 'keep')",10
676,"('i', 'never')",10
677,"('piece', 'of')",10
678,"('that', 'there')",10
679,"('it', 'out')",9
680,"('pretty', 'good')",9
681,"('as', 'it')",9
682,"('sandwich', 'artist')",9
683,"('and', ""i'm"")",9
684,"('you', 'ask')",9
685,"('take', 'a')",9
686,"('you', 'order')",9
687,"('a', 'salad')",9
688,"('my', 'experience')",9
689,"('you', 'will')",9
690,"('good', 'i')",9
691,"('peppers', 'and')",9
692,"('to', 'their')",9
693,"('of', 'subway')",9
694,"('staff', 'and')",9
695,"('order', 'a')",9
696,"('the', 'delivery')",9
697,"('great', 'service')",9
698,"('to', 'work')",9
699,"('i', 'eat')",9
700,"('me', 'that')",9
701,"('few', 'times')",9
702,"('back', 'and')",9
703,"('since', 'they')",9
704,"('are', 'the')",9
705,"('not', 'only')",9
706,"('were', 'out')",9
707,"('they', ""didn't"")",9
708,"('comes', 'to')",9
709,"('a', 'different')",9
710,"('bit', 'of')",9
711,"('near', 'the')",9
712,"('let', 'me')",9
713,"(""don't"", 'think')",9
714,"('with', 'no')",9
715,"('so', 'we')",9
716,"('and', 'made')",9
717,"('i', 'recommend')",9
718,"('a', 'foot')",9
719,"('she', 'said')",9
720,"('said', 'it')",9
721,"('location', 'has')",9
722,"('my', 'money')",9
723,"('i', 'came')",9
724,"(""it's"", 'the')",9
725,"('always', 'get')",9
726,"('always', 'a')",9
727,"('drive', 'thru')",9
728,"('and', 'has')",9
729,"('take', 'the')",9
730,"('other', 'than')",9
731,"('was', 'told')",9
732,"('since', 'it')",9
733,"('sub', 'was')",9
734,"('where', 'they')",9
735,"('a', 'nice')",9
736,"('in', 'their')",9
737,"('good', 'sandwich')",9
738,"('it', 'takes')",9
739,"(""didn't"", 'even')",9
740,"('5', 'stars')",9
741,"('well', 'as')",9
742,"('you', ""can't"")",9
743,"('is', 'friendly')",9
744,"('use', 'the')",9
745,"('a', 'regular')",9
746,"('good', 'service')",9
747,"('the', 'toppings')",9
748,"('the', 'side')",9
749,"('there', 'to')",9
750,"('am', 'a')",9
751,"('lettuce', 'tomato')",9
752,"('to', 'grab')",9
753,"('love', 'subway')",9
754,"('always', 'good')",9
755,"('all', 'i')",9
756,"('this', 'jimmy')",9
757,"('lunch', 'break')",9
758,"('are', 'a')",9
759,"('them', 'i')",9
760,"('each', 'other')",9
761,"(""mike's"", 'way')",9
762,"('this', 'review')",9
763,"('store', 'and')",9
764,"('be', 'going')",9
765,"('feel', 'like')",9
766,"('fresh', 'the')",9
767,"('make', 'my')",9
768,"('roast', 'beef')",9
769,"('are', 'just')",9
770,"('few', 'minutes')",9
771,"('onions', 'and')",9
772,"('i', 'should')",9
773,"('the', 'young')",9
774,"('been', 'a')",9
775,"('proceeded', 'to')",9
776,"('should', 'have')",9
777,"('really', 'nice')",9
778,"('no', 'longer')",9
779,"('make', 'the')",9
780,"('their', 'bread')",8
781,"('have', 'visited')",8
782,"('the', 'prices')",8
783,"('but', 'she')",8
784,"('a', 'drive')",8
785,"('i', 'work')",8
786,"('other', 'subways')",8
787,"('are', 'good')",8
788,"('we', 'are')",8
789,"('we', 'had')",8
790,"('sandwich', 'with')",8
791,"('sandwiches', 'were')",8
792,"('the', 'two')",8
793,"('very', 'fresh')",8
794,"('is', 'also')",8
795,"('location', 'and')",8
796,"('people', 'that')",8
797,"('work', 'there')",8
798,"('polite', 'and')",8
799,"('a', 'jimmy')",8
800,"('here', 'the')",8
801,"('slow', 'and')",8
802,"('i', 'saw')",8
803,"('if', 'the')",8
804,"('all', 'and')",8
805,"('on', 'this')",8
806,"('side', 'of')",8
807,"('could', 'be')",8
808,"('wheat', 'bread')",8
809,"('drink', 'and')",8
810,"('bag', 'of')",8
811,"('the', 'italian')",8
812,"('how', 'they')",8
813,"('minutes', 'to')",8
814,"('sandwiches', 'i')",8
815,"('you', 'know')",8
816,"('subway', 'the')",8
817,"('give', 'it')",8
818,"('up', 'with')",8
819,"('me', 'they')",8
820,"('or', 'anything')",8
821,"('way', 'i')",8
822,"('able', 'to')",8
823,"('here', 'in')",8
824,"('subway', 'a')",8
825,"('and', 'fast')",8
826,"('instead', 'of')",8
827,"('would', 'say')",8
828,"('visit', 'this')",8
829,"('was', 'going')",8
830,"('the', 'window')",8
831,"('times', 'a')",8
832,"('was', 'only')",8
833,"('looked', 'at')",8
834,"('i', 'paid')",8
835,"('the', 'extra')",8
836,"('and', 'service')",8
837,"('i', 'felt')",8
838,"('in', 'town')",8
839,"('all', 'over')",8
840,"('in', 'at')",8
841,"('think', 'i')",8
842,"('if', 'it')",8
843,"('was', 'no')",8
844,"('one', 'employee')",8
845,"('place', 'the')",8
846,"('as', 'far')",8
847,"('15', 'minutes')",8
848,"('the', 'front')",8
849,"('one', 'i')",8
850,"('but', 'when')",8
851,"('to', 'just')",8
852,"('part', 'of')",8
853,"('not', 'even')",8
854,"('based', 'on')",8
855,"('was', 'also')",8
856,"('always', 'friendly')",8
857,"('a', 'cold')",8
858,"('i', ""couldn't"")",8
859,"('like', 'i')",8
860,"('your', 'order')",8
861,"('the', 'inside')",8
862,"('now', 'i')",8
863,"('is', 'usually')",8
864,"('i', 'order')",8
865,"('even', 'if')",8
866,"('is', 'awesome')",8
867,"('any', 'of')",8
868,"('know', 'that')",8
869,"('food', 'the')",8
870,"('the', 'man')",8
871,"('were', 'all')",8
872,"('and', 'everything')",8
873,"('everything', 'was')",8
874,"('3', 'times')",8
875,"('i', 'ate')",8
876,"('then', 'i')",8
877,"('really', 'good')",8
878,"('put', 'on')",8
879,"('lunch', 'hour')",8
880,"('am', 'not')",8
881,"('going', 'back')",8
882,"('the', 'lettuce')",8
883,"('from', 'my')",8
884,"('i', 'tried')",8
885,"('has', 'to')",8
886,"('the', 'tuna')",8
887,"('messed', 'up')",8
888,"('quick', 'lunch')",8
889,"('if', 'there')",8
890,"('great', 'place')",8
891,"('husband', 'and')",8
892,"('the', 'wrong')",8
893,"('times', 'i')",8
894,"('say', 'that')",8
895,"('said', 'no')",8
896,"('i', 'feel')",8
897,"('was', 'made')",8
898,"('around', 'the')",8
899,"('for', 'extra')",8
900,"('they', 'just')",8
901,"('subway', 'for')",8
902,"('skimp', 'on')",8
903,"('and', 'just')",8
904,"('and', 'really')",8
905,"('with', 'their')",8
906,"('in', 'here')",8
907,"('the', 'franchise')",8
908,"('just', 'not')",8
909,"('up', 'i')",8
910,"('my', 'wife')",8
911,"('several', 'times')",8
912,"('was', 'greeted')",8
913,"('to', 'return')",8
914,"('steak', 'and')",8
915,"('they', 'should')",8
916,"('that', 'are')",8
917,"('subway', 'on')",8
918,"('my', 'daughter')",8
919,"('and', 'mayo')",8
920,"('walk', 'in')",8
921,"('typical', 'subway')",7
922,"('couple', 'of')",7
923,"('subs', 'and')",7
924,"('made', 'it')",7
925,"('sub', 'shop')",7
926,"('high', 'school')",7
927,"('as', 'you')",7
928,"('vinegar', 'and')",7
929,"('i', 'left')",7
930,"('not', 'worth')",7
931,"('and', 'always')",7
932,"('a', 'review')",7
933,"('for', 'this')",7
934,"('it', 'as')",7
935,"('was', 'pretty')",7
936,"('sub', 'is')",7
937,"('hot', 'peppers')",7
938,"('time', 'the')",7
939,"('or', 'so')",7
940,"('particular', 'location')",7
941,"('was', 'extremely')",7
942,"('for', 'us')",7
943,"('been', 'there')",7
944,"('they', 'did')",7
945,"('to', 'avoid')",7
946,"('they', 'get')",7
947,"('do', 'have')",7
948,"('have', 'any')",7
949,"('lack', 'of')",7
950,"('needed', 'to')",7
951,"('sandwich', 'in')",7
952,"('the', 'taste')",7
953,"('told', 'them')",7
954,"('over', 'a')",7
955,"(""john's"", 'i')",7
956,"('i', 'placed')",7
957,"('their', 'subs')",7
958,"('also', 'the')",7
959,"('do', 'the')",7
960,"('they', 'never')",7
961,"('fast', 'service')",7
962,"('are', 'in')",7
963,"('nothing', 'special')",7
964,"('located', 'in')",7
965,"('parking', 'lot')",7
966,"('being', 'a')",7
967,"('the', 'kids')",7
968,"('guy', 'behind')",7
969,"('the', 'register')",7
970,"('her', 'to')",7
971,"('called', 'the')",7
972,"('times', ""i've"")",7
973,"('each', 'time')",7
974,"('area', 'and')",7
975,"('and', 'are')",7
976,"('a', 'fan')",7
977,"('service', 'at')",7
978,"('bread', 'the')",7
979,"('one', 'thing')",7
980,"('lunch', 'rush')",7
981,"('subways', 'in')",7
982,"('than', 'subway')",7
983,"('-', 'but')",7
984,"('last', 'time')",7
985,"('or', 'a')",7
986,"('wish', 'they')",7
987,"('on', 'i')",7
988,"('the', 'customer')",7
989,"('location', 'in')",7
990,"('what', 'was')",7
991,"('sandwiches', 'to')",7
992,"('love', 'it')",7
